Variable,Consortium Aggregate,University of Pennsylvania,Oregon Health & Science University,Rush University,Johns Hopkins University,University of California San Francisco,Emory University,Northwestern University,University of Toronto,University of Chicago,University of Minnesota,MIMIC IV,University of Michigan
N: ICU encounters,947562,125249,63357,50440,104641,65750,121782,105721,13259,26870,144747,85162,40584
N: unique patients,745112,97933,53527,36637,85982,53806,93718,85003,12658,21384,104910,64954,34600
Race n (%): White,475268 (50.2),55701 (56.9%),45191 (84.4%),15697 (42.8%),51118 (59.5%),29610 (55.0%),49086 (52.4%),62500 (73.5%),,5789 (27.1%),88633 (84.5%),43795 (67.4%),28148 (81.4%)
Race n (%): Black,147203 (15.5),29864 (30.5%),1281 (2.4%),12970 (35.4%),24228 (28.2%),3876 (7.2%),35415 (37.8%),10514 (12.4%),,13017 (60.9%),6366 (6.1%),6061 (9.3%),3611 (10.4%)
Race n (%): Other,120335 (12.7),12364 (12.6%),5904 (11.0%),7970 (21.8%),10636 (12.4%),19848 (36.9%),9213 (9.8%),11987 (14.1%),12658 (100.0%),2551 (11.9%),9911 (9.4%),15098 (23.2%),2195 (6.3%)
Race n (%): nan,1075 (0.1),4 (0.0%),1065 (2.0%),,,,4 (0.0%),2 (0.0%),,,,,
Sex n (%): Male,409311 (43.2),54473 (55.6%),30078 (56.2%),19188 (52.4%),46279 (53.8%),28481 (52.9%),50478 (53.9%),47125 (55.4%),8392 (66.3%),12015 (56.2%),56006 (53.4%),36824 (56.7%),19972 (57.7%)
Sex n (%): Female,334330 (35.3),43452 (44.4%),22053 (41.2%),17449 (47.6%),39692 (46.2%),25305 (47.0%),43236 (46.1%),37862 (44.5%),4266 (33.7%),9369 (43.8%),48888 (46.6%),28130 (43.3%),14628 (42.3%)
Sex n (%): Unknown,394 (0.0),4 (0.0%),331 (0.6%),,11 (0.0%),20 (0.0%),,14 (0.0%),,,14 (0.0%),,
Sex n (%): nan,1075 (0.1),4 (0.0%),1065 (2.0%),,,,4 (0.0%),2 (0.0%),,,,,
Ethnicity n (%): Non-Hispanic,646663 (68.2),91918 (93.9%),45258 (84.6%),29590 (80.8%),74728 (86.9%),43262 (80.4%),80981 (86.4%),74055 (87.1%),,19058 (89.1%),103259 (98.4%),52053 (80.1%),32501 (93.9%)
Ethnicity n (%): Hispanic,43129 (4.6),3555 (3.6%),3517 (6.6%),6544 (17.9%),3864 (4.5%),8570 (15.9%),2805 (3.0%),8043 (9.5%),,1353 (6.3%),1651 (1.6%),2352 (3.6%),875 (2.5%)
Ethnicity n (%): Unknown,53752 (5.7),2456 (2.5%),3687 (6.9%),503 (1.4%),7390 (8.6%),1974 (3.7%),9928 (10.6%),2903 (3.4%),12658 (100.0%),946 (4.4%),,10549 (16.2%),758 (2.2%)
Ethnicity n (%): nan,1075 (0.1),4 (0.0%),1065 (2.0%),,,,4 (0.0%),2 (0.0%),,,,,
Hospital mortality n (%),132039 (13.9),19403 (15.5%),8202 (12.9%),6152 (12.2%),15697 (15.0%),6543 (10.0%),17824 (14.6%),16270 (15.4%),1971 (14.9%),4227 (15.7%),17759 (12.3%),12073 (14.2%),5918 (14.6%)
"SOFA-97 TOTAL, median [Q1,Q3]","4.0 [1.0,6.0]","4.0 [2.0,6.0]","3.0 [1.0,6.0]","3.0 [1.0,5.0]","4.0 [2.0,7.0]","3.0 [1.0,5.0]","3.0 [1.0,5.0]","4.0 [2.0,6.0]","4.0 [2.0,6.0]","4.0 [2.0,7.0]","3.0 [1.0,5.0]","4.0 [2.0,6.0]","5.0 [2.0,8.0]"
"SOFA CV 97, median [Q1,Q3]","1.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","1.0 [0.0,1.0]","1.0 [0.0,1.0]","0.0 [0.0,1.0]","1.0 [0.0,1.0]","1.0 [0.0,1.0]","1.0 [0.0,1.0]","1.0 [0.0,1.0]","1.0 [0.0,1.0]","1.0 [1.0,1.0]","1.0 [0.0,1.0]"
"SOFA COAG, median [Q1,Q3]","0.0 [0.0,1.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,0.0]","0.0 [0.0,1.0]","0.0 [0.0,0.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]"
"SOFA LIVER, median [Q1,Q3]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]"
"SOFA RESP PF, median [Q1,Q3]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]"
"SOFA RESP PF IMP, median [Q1,Q3]","0.0 [0.0,2.0]","0.0 [0.0,2.0]","1.0 [0.0,2.0]","0.0 [0.0,0.0]","0.0 [0.0,2.0]","0.0 [0.0,2.0]","0.0 [0.0,2.0]","1.0 [0.0,2.0]","0.0 [0.0,2.0]","0.0 [0.0,2.0]","1.0 [0.0,1.0]","0.0 [0.0,2.0]","1.0 [0.0,2.0]"
"SOFA RESP, median [Q1,Q3]","1.0 [0.0,2.0]","1.0 [0.0,2.0]","1.0 [0.0,2.0]","0.0 [0.0,0.0]","0.0 [0.0,2.0]","0.0 [0.0,2.0]","0.0 [0.0,2.0]","1.0 [0.0,2.0]","0.0 [0.0,2.0]","0.0 [0.0,2.0]","1.0 [0.0,1.0]","0.0 [0.0,2.0]","1.0 [0.0,2.0]"
"SOFA CNS, median [Q1,Q3]","0.0 [0.0,2.0]","0.0 [0.0,2.0]","0.0 [0.0,2.0]","0.0 [0.0,1.0]","1.0 [0.0,2.0]","1.0 [0.0,2.0]","0.0 [0.0,1.0]","0.0 [0.0,2.0]","1.0 [1.0,2.0]","1.0 [0.0,3.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","1.0 [0.0,3.0]"
"SOFA RENAL, median [Q1,Q3]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,0.0]","0.0 [0.0,1.0]","0.0 [0.0,0.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]"
Admission Location n (%): ed,541350 (57.1),54123 (41.3%),31865 (48.9%),23966 (46.9%),60832 (55.6%),14358 (21.8%),83264 (66.6%),72772 (65.6%),7916 (59.7%),17809 (66.2%),97290 (63.2%),56793 (66.5%),20362 (50.1%)
