Variable,Overall,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
N: encounters,144747,4847,7915,8492,10321,12176,12210,12789,13318,13023,11599,9567,9399,9623,9512
N: unique patients,104910,4169,6703,7239,9132,10674,10719,11165,11646,11381,10338,8759,8568,8713,8535
Race n (%): White,88633 (84.5%),3553 (85.2%),5836 (87.1%),6269 (86.6%),7930 (86.8%),9178 (86.0%),9154 (85.4%),9423 (84.4%),9829 (84.4%),9539 (83.8%),8431 (81.6%),7248 (82.7%),7169 (83.7%),7183 (82.4%),7007 (82.1%)
Race n (%): Other,9911 (9.4%),374 (9.0%),478 (7.1%),579 (8.0%),676 (7.4%),901 (8.4%),965 (9.0%),1054 (9.4%),1082 (9.3%),1105 (9.7%),1199 (11.6%),917 (10.5%),813 (9.5%),945 (10.8%),878 (10.3%)
Race n (%): Black,6366 (6.1%),242 (5.8%),389 (5.8%),391 (5.4%),526 (5.8%),595 (5.6%),600 (5.6%),688 (6.2%),735 (6.3%),737 (6.5%),708 (6.8%),594 (6.8%),586 (6.8%),585 (6.7%),650 (7.6%)
Sex n (%): Male,56006 (53.4%),2151 (51.6%),3461 (51.6%),3893 (53.8%),4763 (52.2%),5487 (51.4%),5698 (53.2%),5816 (52.1%),6215 (53.4%),6047 (53.1%),5644 (54.6%),4964 (56.7%),4685 (54.7%),4754 (54.6%),4611 (54.0%)
Sex n (%): Female,48888 (46.6%),2018 (48.4%),3240 (48.3%),3345 (46.2%),4368 (47.8%),5187 (48.6%),5021 (46.8%),5349 (47.9%),5431 (46.6%),5332 (46.9%),4691 (45.4%),3793 (43.3%),3881 (45.3%),3958 (45.4%),3920 (45.9%)
Sex n (%): Unknown,14 (0.0%),,2 (0.0%),,1 (0.0%),,,,,2 (0.0%),3 (0.0%),2 (0.0%),2 (0.0%),1 (0.0%),3 (0.0%)
Sex n (%): Nonbinary,1 (0.0%),,,1 (0.0%),,,,,,,,,,,
Sex n (%): X,1 (0.0%),,,,,,,,,,,,,,1 (0.0%)
Ethnicity n (%): Non-Hispanic,103259 (98.4%),4144 (99.4%),6673 (99.6%),7192 (99.4%),9059 (99.2%),10548 (98.8%),10590 (98.8%),11006 (98.6%),11487 (98.6%),11204 (98.4%),10109 (97.8%),8598 (98.2%),8369 (97.7%),8489 (97.4%),8316 (97.4%)
Ethnicity n (%): Hispanic,1651 (1.6%),25 (0.6%),30 (0.4%),47 (0.6%),73 (0.8%),126 (1.2%),129 (1.2%),159 (1.4%),159 (1.4%),177 (1.6%),229 (2.2%),161 (1.8%),199 (2.3%),224 (2.6%),219 (2.6%)
Hospital mortality n (%),17759 (12.3%),470 (9.7%),737 (9.3%),925 (10.9%),1108 (10.7%),1359 (11.2%),1349 (11.0%),1444 (11.3%),1560 (11.7%),1437 (11.0%),1687 (14.5%),1591 (16.6%),1406 (15.0%),1319 (13.7%),1367 (14.4%)
"SOFA-97 TOTAL, median [Q1,Q3]","3.0 [1.0,5.0]","2.0 [1.0,4.0]","2.0 [1.0,4.0]","2.0 [1.0,4.0]","2.0 [1.0,4.0]","2.0 [1.0,4.0]","3.0 [1.0,4.0]","3.0 [1.0,5.0]","3.0 [1.0,5.0]","3.0 [2.0,5.0]","3.0 [2.0,6.0]","4.0 [2.0,6.0]","4.0 [2.0,6.0]","4.0 [2.0,6.0]","4.0 [2.0,6.0]"
"SOFA CV 97, median [Q1,Q3]","1.0 [0.0,1.0]","1.0 [0.0,1.0]","1.0 [0.0,1.0]","1.0 [0.0,1.0]","1.0 [0.0,1.0]","1.0 [0.0,1.0]","1.0 [0.0,1.0]","1.0 [0.0,1.0]","1.0 [0.0,1.0]","1.0 [0.0,1.0]","1.0 [0.0,1.0]","1.0 [0.0,1.0]","1.0 [0.0,1.0]","1.0 [0.0,1.0]","1.0 [0.0,1.0]"
"SOFA COAG, median [Q1,Q3]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,1.0]","0.0 [0.0,0.0]","0.0 [0.0,1.0]"
"SOFA LIVER, median [Q1,Q3]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]"
